latitude,longitude,dem_m,slope_deg,TWI,HAND_m,ks_mmh,psi_cm,theta_s,IC_max_mmh
39.954526,116.547189,31.0,2.6641,10.3572,2.0,125.312,-7.795,0.4646,125.312
39.988918,116.393085,48.0,1.8716,11.1161,1.0,101.1767,-9.7143,0.4491,101.1767
39.906121,116.618658,26.0,1.9036,12.3031,0.0,125.312,-7.795,0.4646,125.312
39.88677,116.32057,50.0,2.2156,11.2349,2.0,126.984,-7.82,0.4657,126.984
39.84432,116.24102,58.0,0.3809,12.3031,3.0,30.4372,-25.5898,0.4666,30.4372
39.90671,116.436755,47.0,11.6665,9.2726,3.0,0.01,-10.0,0.1,0.01
39.831067,116.345443,41.0,2.284,11.8977,0.0,29.81,-26.342,0.468,29.81
39.902702,116.571962,30.0,0.7577,13.9178,2.0,125.312,-7.795,0.4646,125.312
39.830656,116.313016,46.0,2.3924,10.8704,0.0,33.573,-21.829,0.4597,33.573
39.867612,116.271426,51.0,1.2948,13.0252,0.0,88.1144,-15.2288,0.4666,88.1144
39.832871,116.288638,54.0,3.9311,10.3728,6.0,33.573,-21.829,0.4597,33.573
39.84392,116.25283,56.0,1.1062,11.2368,3.0,30.688,-25.289,0.4661,30.688
39.83803,116.25133,55.0,1.6488,10.8375,5.0,33.3221,-22.1299,0.4603,33.3221
39.898579,116.653324,27.0,1.6633,11.9274,2.0,125.312,-7.795,0.4646,125.312
39.891351,116.678817,22.0,4.4043,10.2587,1.0,109.8204,-8.0396,0.4478,109.8204
40.090761,116.660893,38.0,4.4401,9.8451,2.0,125.566,-7.837,0.4648,125.566
40.069132,116.384865,37.0,2.284,18.9133,0.0,36.91,-20.643,0.4703,36.91
40.34096,116.57259,78.0,4.805,10.1713,13.0,38.272,-18.663,0.4703,38.272
40.32732,116.63634,47.0,0.3809,18.9852,0.0,52.3744,-16.5423,0.4656,52.3744
40.340813,116.750316,54.0,1.5231,11.3223,2.0,84.3213,-13.6101,0.4598,84.3213
40.34671,116.64293,53.0,2.0361,10.6264,6.0,38.272,-18.663,0.4703,38.272
39.89635,116.29049,56.0,2.4612,10.4366,1.0,126.984,-7.82,0.4657,126.984
40.107676,116.562609,35.0,4.1189,11.0191,0.0,82.8652,-15.6816,0.463,82.8652
40.344046,116.567934,74.0,3.3936,11.031,6.0,38.272,-18.663,0.4703,38.272
40.028878,116.468059,39.0,1.1062,12.7409,1.0,123.66,-7.837,0.4648,123.66
39.861699,116.271426,54.0,3.483,10.0887,2.0,29.81,-26.342,0.468,29.81
39.854141,116.261096,56.0,1.1967,11.1581,4.0,29.945,-26.3163,0.468,29.945
39.842625,116.257933,51.0,3.159,10.592,0.0,31.3152,-24.5368,0.4647,31.3152
39.774398,116.166069,44.0,3.0558,12.7047,0.0,128.874,-7.837,0.4648,128.874
40.233214,116.358662,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,37.0248
39.98824,116.49855,35.0,1.6488,15.1813,0.0,118.012,-7.9198,0.4579,118.012
39.94431,116.48999,37.0,1.1062,11.6422,1.0,135.6412,-7.242,0.4574,135.6412
39.987914,116.442261,40.0,2.5884,16.7688,0.0,30.2547,-22.5196,0.4619,30.2547
40.108571,116.638516,37.0,3.3084,11.2389,0.0,125.566,-7.837,0.4648,125.566
40.295281,116.664272,38.0,0.9361,16.5828,0.0,108.009,-8.176,0.4475,108.009
40.295281,116.648351,43.0,0.9361,11.4038,3.0,108.009,-8.176,0.4475,108.009
40.406625,115.940856,496.0,0.3809,12.7086,0.0,46.278,-20.601,0.4808,46.278
40.079204,116.333495,43.0,1.5231,12.9317,0.0,85.1077,-14.271,0.4628,85.1077
39.845321,116.257168,53.0,3.3084,10.5457,2.0,30.0609,-26.0411,0.4674,30.0609
40.417545,115.940914,497.0,2.284,10.5114,4.0,42.2286,-17.8422,0.4682,42.2286
