date,latitude,longitude,year,SM_prev,theta_s,soil_deficit
2018-07-15,39.954526,116.547189,2018,0.2755,0.4646,0.1891
2018-07-16,39.84432,116.24102,2018,0.3018,0.4666,0.1648
2018-07-16,39.88677,116.32057,2018,0.3279,0.4657,0.1378
2018-07-16,39.906121,116.618658,2018,0.3125,0.4646,0.1521
2018-07-16,39.988918,116.393085,2018,0.3786,0.4491,0.0705
2018-07-17,39.831067,116.345443,2018,0.3547,0.468,0.1133
2018-07-17,39.90671,116.436755,2018,0.4174,0.1,0.0
2018-08-05,39.954526,116.547189,2018,0.2501,0.4646,0.2145
2018-08-06,39.902702,116.571962,2018,0.2684,0.4646,0.1962
2018-08-08,39.830656,116.313016,2018,0.3672,0.4597,0.0925
2018-08-08,39.831067,116.345443,2018,0.34,0.468,0.128
2018-08-08,39.832871,116.288638,2018,0.3832,0.4597,0.0765
2018-08-08,39.83803,116.25133,2018,0.2588,0.4603,0.2015
2018-08-08,39.84392,116.25283,2018,0.288,0.4661,0.1781
2018-08-08,39.867612,116.271426,2018,0.3189,0.4666,0.1477
2018-08-08,39.891351,116.678817,2018,0.2794,0.4478,0.1684
2018-08-08,39.898579,116.653324,2018,0.2615,0.4646,0.2031
2018-08-08,39.902702,116.571962,2018,0.2684,0.4646,0.1962
2018-08-08,39.906121,116.618658,2018,0.2568,0.4646,0.2078
2018-08-08,40.069132,116.384865,2018,0.2743,0.4703,0.196
2018-08-08,40.090761,116.660893,2018,0.2491,0.4648,0.2157
2018-08-11,40.32732,116.63634,2018,0.3855,0.4656,0.0801
2018-08-11,40.340813,116.750316,2018,0.2233,0.4598,0.2365
2018-08-11,40.34096,116.57259,2018,0.2341,0.4703,0.2362
2018-08-11,40.34671,116.64293,2018,0.2655,0.4703,0.2048
2018-08-12,39.89635,116.29049,2018,0.4964,0.4657,0.0
2019-06-06,40.069132,116.384865,2019,0.1736,0.4703,0.2967
2019-06-06,40.107676,116.562609,2019,0.1413,0.463,0.3217
2019-07-22,40.344046,116.567934,2019,0.2197,0.4703,0.2506
2019-07-28,39.774398,116.166069,2019,0.289,0.4648,0.1758
2019-07-28,39.842625,116.257933,2019,0.2529,0.4647,0.2118
2019-07-28,39.854141,116.261096,2019,0.3145,0.468,0.1535
2019-07-28,39.861699,116.271426,2019,0.3091,0.468,0.1589
2019-07-28,39.902702,116.571962,2019,0.286,0.4646,0.1786
2019-07-28,40.028878,116.468059,2019,0.2984,0.4648,0.1664
2019-07-28,40.069132,116.384865,2019,0.3242,0.4703,0.1461
2019-07-28,40.233214,116.358662,2019,0.2687,0.4679,0.1992
2019-08-05,39.94431,116.48999,2019,0.26,0.4574,0.1974
2019-08-05,39.954526,116.547189,2019,0.2979,0.4646,0.1667
2019-08-05,39.987914,116.442261,2019,0.394,0.4619,0.0679
2019-08-05,39.98824,116.49855,2019,0.2907,0.4579,0.1672
2019-08-05,40.090761,116.660893,2019,0.201,0.4648,0.2638
2019-08-05,40.108571,116.638516,2019,0.2393,0.4648,0.2255
2019-08-05,40.295281,116.664272,2019,0.1856,0.4475,0.2619
2019-08-05,40.295281,116.648351,2019,0.2227,0.4475,0.2248
2019-08-05,40.340813,116.750316,2019,0.1775,0.4598,0.2823
2019-08-05,40.406625,115.940856,2019,0.1679,0.4808,0.3129
2019-08-07,40.069132,116.384865,2019,0.2907,0.4703,0.1796
2019-08-07,40.079204,116.333495,2019,0.3632,0.4628,0.0996
2019-08-07,40.340813,116.750316,2019,0.1775,0.4598,0.2823
2019-08-08,39.845321,116.257168,2019,0.3772,0.4674,0.0902
2019-08-09,40.340813,116.750316,2019,0.1775,0.4598,0.2823
2019-09-09,40.069132,116.384865,2019,0.3015,0.4703,0.1688
2019-09-13,40.417545,115.940914,2019,0.1977,0.4682,0.2705
2020-06-24,40.406625,115.940856,2020,0.1734,0.4808,0.3074
2020-06-24,40.417545,115.940914,2020,0.1858,0.4682,0.2824
2020-07-01,40.340813,116.750316,2020,0.1972,0.4598,0.2626
2020-07-01,40.406625,115.940856,2020,0.1893,0.4808,0.2915
2020-07-01,40.417545,115.940914,2020,0.2061,0.4682,0.2621
2020-07-05,40.417545,115.940914,2020,0.2061,0.4682,0.2621
2020-07-06,39.682531,116.413385,2020,0.2183,0.4683,0.25
2020-07-06,39.832381,116.41188,2020,0.2438,0.4661,0.2223
2020-07-12,39.903404,116.285473,2020,0.4591,0.1,0.0
