date,latitude,longitude,year,rainfall_mm,RE_mm,SM_prev,soil_deficit,dem_m,slope_deg,TWI,HAND_m,ks_mmh,psi_cm,theta_s,label
2018-06-11,39.988918,116.393085,2018,0.095421661846612,0.0,0.2989,0.1624,48.0,1.8716,11.1161,1.0,101.1767,-9.7143,0.4491,0
2018-06-11,39.984489,116.300067,2018,0.095421661846612,0.0,0.2989,0.1624,52.0,3.3084,11.932,3.0,123.794,-7.837,0.4648,0
2018-06-11,39.90071,116.328174,2018,0.095421661846612,0.0,0.2989,0.1624,50.0,1.8416,12.1131,1.0,0.01,-10.0,0.1,0
2018-07-15,40.233214,116.358662,2018,0.0,0.0,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-07-15,40.232568,116.228636,2018,0.0,0.0,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-07-15,39.954526,116.547189,2018,0.0,0.0,0.2755,0.1891,31.0,2.6641,10.3572,2.0,125.312,-7.795,0.4646,1
2018-07-16,40.233214,116.358662,2018,50.84594362101602,44.074,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-07-16,40.232568,116.228636,2018,26.959540274754573,23.27,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-07-16,39.988918,116.393085,2018,90.9855602056372,68.495,0.3786,0.0705,48.0,1.8716,11.1161,1.0,101.1767,-9.7143,0.4491,1
2018-07-16,39.906121,116.618658,2018,56.77384932508603,5.747,0.3125,0.1521,26.0,1.9036,12.3031,0.0,125.312,-7.795,0.4646,1
2018-07-16,39.88677,116.32057,2018,73.93158891327934,20.84,0.3279,0.1378,50.0,2.2156,11.2349,2.0,126.984,-7.82,0.4657,1
2018-07-16,39.84432,116.24102,2018,90.99062028232072,85.79,0.3018,0.1648,58.0,0.3809,12.3031,3.0,30.4372,-25.5898,0.4666,1
2018-07-17,40.233214,116.358662,2018,24.518893669312643,17.747,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-07-17,40.232568,116.228636,2018,13.086228854855788,9.397,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-07-17,39.90671,116.436755,2018,55.372367014965405,53.373,0.4174,0.0,47.0,11.6665,9.2726,3.0,0.01,-10.0,0.1,1
2018-07-17,39.831067,116.345443,2018,64.30925727743582,60.338,0.3547,0.1133,41.0,2.284,11.8977,0.0,29.81,-26.342,0.468,1
2018-07-30,39.774398,116.166069,2018,0.0,0.0,0.2989,0.1624,44.0,3.0558,12.7047,0.0,128.874,-7.837,0.4648,0
2018-07-30,39.704511,116.129163,2018,0.0,0.0,0.2989,0.1624,42.0,2.1281,10.5821,1.0,34.017,-16.4538,0.4594,0
2018-07-30,39.982802,116.522222,2018,0.0,0.0,0.2989,0.1624,35.0,1.4707,10.9519,4.0,109.54,-8.044,0.4475,0
2018-07-30,39.988653,116.509659,2018,0.0,0.0,0.2989,0.1624,34.0,1.2948,12.9511,0.0,109.54,-8.044,0.4475,0
2018-07-30,39.902297,116.515546,2018,0.0,0.0,0.2989,0.1624,37.0,2.1054,10.5929,5.0,103.615,-11.1559,0.4651,0
2018-07-30,39.937133,116.530692,2018,0.0,0.0,0.2989,0.1624,34.0,1.1967,11.1581,2.0,125.312,-7.795,0.4646,0
2018-08-01,39.832381,116.41188,2018,0.0,0.0,0.2989,0.1624,36.0,2.5732,19.459,0.0,84.1054,-15.9898,0.4661,0
2018-08-01,39.841887,116.478903,2018,0.0,0.0,0.2989,0.1624,35.0,2.2156,11.9281,1.0,126.766,-7.856,0.4646,0
2018-08-01,39.873535,116.46704,2018,0.0,0.0,0.2989,0.1624,40.0,4.8713,10.1575,1.0,32.325,-22.199,0.4667,0
2018-08-01,39.80316,116.474347,2018,0.0,0.0,0.2989,0.1624,34.0,2.9547,10.659,0.0,115.15,-9.7312,0.4649,0
2018-08-01,39.830104,116.467673,2018,0.0,0.0,0.2989,0.1624,36.0,0.9361,12.5024,1.0,126.766,-7.856,0.4646,0
2018-08-01,39.846761,116.486295,2018,0.0,0.0,0.2989,0.1624,37.0,4.4401,9.8451,4.0,117.3219,-9.2903,0.4648,0
2018-08-05,40.233214,116.358662,2018,2.588572140058646,0.433,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-08-05,40.232568,116.228636,2018,1.3169038344623465,0.0,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-08-05,39.954526,116.547189,2018,0.5680481170133935,0.0,0.2501,0.2145,31.0,2.6641,10.3572,2.0,125.312,-7.795,0.4646,1
2018-08-06,39.929403,116.168682,2018,1.8364299123011767,0.0,0.2989,0.1624,110.0,17.8898,9.3366,32.0,126.984,-7.82,0.4657,0
2018-08-06,40.233214,116.358662,2018,10.298592476412184,6.104,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-08-06,40.232568,116.228636,2018,8.412064401959999,5.366,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-08-06,39.902702,116.571962,2018,18.59943723504984,1.742,0.2684,0.1962,30.0,0.7577,13.9178,2.0,125.312,-7.795,0.4646,1
2018-08-07,40.417545,115.940914,2018,0.0,0.0,0.2989,0.1624,497.0,2.284,10.5114,4.0,42.2286,-17.8422,0.4682,0
2018-08-07,40.428162,115.973277,2018,0.0,0.0,0.2989,0.1624,500.0,2.611,10.3774,3.0,58.7146,-14.1579,0.4816,0
2018-08-07,40.468379,115.962826,2018,0.0,0.0,0.2989,0.1624,486.0,1.4707,14.7696,2.0,45.1076,-20.1434,0.4735,0
2018-08-08,40.233214,116.358662,2018,39.14065874648092,32.369,0.2989,0.1624,69.0,0.7577,11.6152,15.0,37.0248,-18.9614,0.4679,0
2018-08-08,40.232568,116.228636,2018,34.13379839093259,30.444,0.2989,0.1624,90.0,6.6853,9.4334,16.0,22.833,-21.265,0.4503,0
2018-08-08,39.906121,116.618658,2018,88.1243373309946,10.222,0.2568,0.2078,26.0,1.9036,12.3031,0.0,125.312,-7.795,0.4646,1
2018-08-08,39.902702,116.571962,2018,89.32248550674232,15.757,0.2684,0.1962,30.0,0.7577,13.9178,2.0,125.312,-7.795,0.4646,1
2018-08-08,39.830656,116.313016,2018,19.98362376305869,15.981,0.3672,0.0925,46.0,2.3924,10.8704,0.0,33.573,-21.829,0.4597,1
